Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below.
Clinical Studies,QB3,English,1. The medical term for a substance or treatment that has no therapeutic effect is called a ________.,A) Placebo,B) Panacea,C) Elixir,D) Tonic,1,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,2. The study of the effects of drugs on the human body is known as ________.,A) Pharmacology,B) Pathology,C) Physiology,D) Phlebotomy,1,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,3. The medical term for high blood pressure is ________.,A) Hypotension,B) Hypertension,C) Hyperglycemia,D) Hyperlipidemia,2,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,4. The medical term for low blood sugar is ________.,A) Hyperglycemia,B) Hypoglycemia,C) Hyperlipidemia,D) Hypolipidemia,2,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,5. The medical term for an abnormal accumulation of fluid in the lungs is ________.,A) Pneumonia,B) Bronchitis,C) Pulmonary edema,D) Asthma,3,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,"6. The condition characterized by the loss of bone density, leading to an increased risk of fracture, is known as ________.",A ) Osteoporosis,B ) Arthritis,C ) Osteoarthritis,D ) Scoliosis,1,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,7. An abnormal rhythm of the heart is referred to as ________.,A ) Myocardial infarction,B ) Angina,C ) Arrhythmia,D ) Stenosis,3,Yes,Yes,No,Yes,No,
Clinical Studies,QB3,English,8. The medical term for a stroke is ________.,A ) Hemiplegia,B ) Paraplegia,C ) Cerebral infarction,D ) Aphasia,3,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,9. The medical term for inflammation of the liver is ________.,A) Hepatitis,B) Cirrhosis,C) Cholecystitis,D) Pancreatitis,1,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,10. The study of diseases and their causes is known as ________.,A) Epidemiology,B) Etiology,C) Pathology,D) Oncology,3,Yes,Yes,No,Yes,Yes,
Clinical Studies,QB3,English,11. The medical term for a heart attack is ________.,A ) Angina,B ) Myocardial infarction,C ) Arrhythmia,D ) Stenosis,2,Yes,Yes,No,Yes,Yes,
